iter	Logloss
0	0.6184494781
1	0.5515828629
2	0.5016931419
3	0.4480193481
4	0.4085323639
5	0.3742533798
6	0.3429198418
7	0.3183727303
8	0.2929149361
9	0.2730635757
10	0.2546712208
11	0.2408611126
12	0.2274103889
13	0.2160178375
14	0.2064810848
15	0.1970014515
16	0.1894428101
17	0.1827869644
18	0.1770008011
19	0.1718020267
20	0.1662333298
21	0.1610726833
22	0.1558454075
23	0.1521174412
24	0.1473283939
25	0.1431596432
26	0.1400154438
27	0.1376346359
28	0.1341584797
29	0.1313221273
30	0.1282890921
31	0.1264104118
32	0.1241905622
33	0.1217450342
34	0.1194812889
35	0.1175928478
36	0.115116333
37	0.1132671518
38	0.1112638426
39	0.1093803205
40	0.1076912231
41	0.1055210695
42	0.1043120174
43	0.1028991899
44	0.101330699
45	0.1000743189
46	0.09876148987
47	0.09769991684
48	0.09665709019
49	0.09552883434
50	0.09448152161
51	0.09324954033
52	0.09202852631
53	0.09112524414
54	0.09011418724
55	0.0891299696
56	0.08820371532
57	0.08722812462
58	0.08630552578
59	0.08539188957
60	0.0845283947
61	0.08388237572
62	0.0834888258
63	0.08264430809
64	0.08165121078
65	0.08088581753
66	0.0800569849
67	0.07931407928
68	0.07885826206
69	0.07829772282
70	0.07769641876
71	0.07715855885
72	0.07671638966
73	0.07602895927
74	0.07534009361
75	0.07447639465
76	0.07352401924
77	0.07304823112
78	0.07210797501
79	0.07156465244
80	0.07082413197
81	0.07021709061
82	0.06971453285
83	0.06923191166
84	0.06850784731
85	0.06794228315
86	0.06754488945
87	0.06702093267
88	0.06656941319
89	0.06623453188
90	0.06581555271
91	0.06539660788
92	0.06491329241
93	0.06445526981
94	0.06396756697
95	0.06353425074
96	0.06321764565
97	0.062910357
98	0.06248117161
99	0.06213021278
100	0.06156905413
101	0.06104765224
102	0.06062686682
103	0.06028209019
104	0.0597299552
105	0.05941658926
106	0.05896877766
107	0.05843997288
108	0.05798392487
109	0.05767581606
110	0.0574308176
111	0.05702039766
112	0.05667833471
113	0.05627078772
114	0.05585099602
115	0.05536878633
116	0.05509023905
117	0.05464018202
118	0.05421989393
119	0.0539241581
120	0.0535693512
121	0.0532426343
122	0.05296393776
123	0.05278101015
124	0.05244810438
125	0.05191005516
126	0.05162611771
127	0.05126168394
128	0.0508587451
129	0.05058667088
130	0.05040415621
131	0.05016342497
132	0.04995233679
133	0.04965288734
134	0.04940902328
135	0.04911915207
136	0.04888335466
137	0.04861880207
138	0.04827555275
139	0.04811569309
140	0.04784893799
141	0.04760968828
142	0.0473633337
143	0.04712702894
144	0.046831882
145	0.04660697222
146	0.04634676743
147	0.04611636925
148	0.0458261981
149	0.045455616
150	0.04509617233
151	0.04494904852
152	0.0447646451
153	0.04451596642
154	0.04426571846
155	0.04412118196
156	0.04398524618
157	0.04384602022
158	0.04366486645
159	0.04354930687
160	0.04332486057
161	0.04312645292
162	0.0428912611
163	0.0427083168
164	0.04255645847
165	0.04235344219
166	0.0420504179
167	0.04184992218
168	0.04167412615
169	0.04148336554
170	0.04133560705
171	0.0412044816
172	0.04100730705
173	0.04072536373
174	0.04054082298
175	0.04032943869
176	0.04011612558
177	0.04010656118
178	0.03995899916
179	0.03969302273
180	0.03954802608
181	0.03929058218
182	0.03911145401
183	0.03879521513
184	0.03858514595
185	0.03844097567
186	0.03824428701
187	0.03803836536
188	0.03783306694
189	0.03763164139
190	0.03741584063
191	0.0372959199
192	0.03699312639
193	0.03678971434
194	0.03664668083
195	0.03653260374
196	0.03641196489
197	0.03624848557
198	0.0361551342
199	0.03599341202
200	0.03591662693
201	0.03576829433
202	0.03557625055
203	0.03549780273
204	0.03537660599
205	0.03512458968
206	0.03502882385
207	0.0348592484
208	0.0346376338
209	0.03442031622
210	0.0343463695
211	0.03423506999
212	0.0341188612
213	0.03392243195
214	0.03374382639
215	0.03354785728
216	0.03333592463
217	0.03319785976
218	0.03310782337
219	0.03297716618
220	0.03286859846
221	0.03273410177
222	0.03264346576
223	0.03247580409
224	0.03239285088
225	0.03226896667
226	0.03214924026
227	0.03198483348
228	0.03178604746
229	0.03165253115
230	0.03152592301
231	0.03142551827
232	0.03134619689
233	0.03123004246
234	0.03110197449
235	0.03089023089
236	0.03077767467
237	0.03060734582
238	0.0305041132
239	0.03046187472
240	0.03036500812
241	0.0302737515
242	0.03014947414
243	0.03006350732
244	0.02994335079
245	0.02986101913
246	0.0298124969
247	0.02963504338
248	0.02948673868
249	0.02933083344
250	0.0292696023
251	0.02914796877
252	0.02904131675
253	0.02894527888
254	0.02888017082
255	0.02875784445
256	0.02868269825
257	0.02855415797
258	0.02839515042
259	0.02822598386
260	0.02811322212
261	0.02805726433
262	0.02796747398
263	0.0278339994
264	0.02775332785
265	0.02771272779
266	0.02764223766
267	0.02759424353
268	0.02752632833
269	0.02743385243
270	0.02730184007
271	0.0272220962
272	0.02714338017
273	0.02704173875
274	0.02687492776
275	0.02675058961
276	0.02664868593
277	0.02649639177
278	0.02639526534
279	0.02629617119
280	0.02627544451
281	0.0262002759
282	0.02608567047
283	0.02602588058
284	0.02595674467
285	0.02590435219
286	0.02584825754
287	0.02574953961
288	0.02565029192
289	0.02553678942
290	0.02540003848
291	0.02531416368
292	0.0252440691
293	0.02512636566
294	0.02505215716
295	0.02497564197
296	0.02496519971
297	0.02486219454
298	0.02482429409
299	0.02474174809
300	0.02468712068
301	0.02463265872
302	0.02452287936
303	0.02445955157
304	0.0243812592
305	0.02434150052
306	0.02418557382
307	0.02410809422
308	0.02400297523
309	0.0239777503
310	0.02391977978
311	0.02381830382
312	0.02373765421
313	0.02365209746
314	0.02352145123
315	0.02338288307
316	0.02325860763
317	0.02317954898
318	0.0231095202
319	0.02301444674
320	0.02295525956
321	0.02287736416
322	0.02283765554
323	0.02280366325
324	0.02267683101
325	0.02259158111
326	0.02253818417
327	0.0224315176
328	0.02228809094
329	0.02222952986
330	0.02216872621
331	0.02208453512
332	0.02202744055
333	0.02192699313
334	0.02187655807
335	0.02176343679
336	0.02170913672
337	0.0216639812
338	0.02159789348
339	0.02156495333
340	0.02150248528
341	0.02145356965
342	0.02139044189
343	0.02132918572
344	0.02128877378
345	0.02123090935
346	0.02113986993
347	0.02107626033
348	0.02103772259
349	0.02099086952
350	0.02095135498
351	0.02088449526
352	0.02081366301
353	0.02074628663
354	0.02067724252
355	0.02064099813
356	0.02059072542
357	0.02056321836
358	0.02053360534
359	0.02047663593
360	0.0204308126
361	0.02034679985
362	0.02025409365
363	0.02015697408
364	0.02010187435
365	0.02001760578
366	0.01995441341
367	0.01991675138
368	0.0198667295
369	0.0198412776
370	0.01975440645
371	0.01969364786
372	0.01966340518
373	0.01961688185
374	0.01958007431
375	0.01948820972
376	0.01944692278
377	0.01937501192
378	0.01933572316
379	0.01924050689
380	0.01918759084
381	0.01911609364
382	0.01906716609
383	0.01902927685
384	0.01900075388
385	0.01895215988
386	0.0189084785
387	0.01886703992
388	0.0187937367
389	0.01871110916
390	0.01868272781
391	0.01859972453
392	0.01856092858
393	0.0185027504
394	0.01844887757
395	0.01839798307
396	0.01831086802
397	0.01825498533
398	0.01819732594
399	0.01813788211
400	0.01810685802
401	0.01805967414
402	0.01802497351
403	0.01793806398
404	0.01793136263
405	0.01791124964
406	0.01787319958
407	0.01776324463
408	0.01770576596
409	0.01765704584
410	0.01761376345
411	0.01757147777
412	0.01752044106
413	0.01744644964
414	0.01739764702
415	0.01736931598
416	0.01731740808
417	0.01728694022
418	0.01723527646
419	0.01717085111
420	0.01709205985
421	0.01703011453
422	0.01696786857
423	0.01690143406
424	0.01685311639
425	0.01680497003
426	0.01676437294
427	0.01672525144
428	0.0167053386
429	0.01665207267
430	0.01663278306
431	0.01659268725
432	0.01655536485
433	0.01651298356
434	0.01648948503
435	0.0164586041
436	0.01639079297
437	0.01633060539
438	0.01629472792
439	0.0162284677
440	0.0161980691
441	0.01619536626
442	0.0161305511
443	0.01606868696
444	0.01603860176
445	0.0160165534
446	0.01593209684
447	0.01586130798
448	0.01579311228
449	0.01574417579
450	0.01567890263
451	0.01566918337
452	0.01560798335
453	0.01557634699
454	0.01557403409
455	0.01550979948
456	0.01548102164
457	0.01542951798
458	0.01538797522
459	0.01534412253
460	0.01528154922
461	0.015278005
462	0.0152307409
463	0.01520948207
464	0.01515240562
465	0.01512615871
466	0.0151007123
467	0.01503510594
468	0.01501602972
469	0.01498695099
470	0.01491501117
471	0.01491293573
472	0.01489874399
473	0.0148725338
474	0.01481309152
475	0.01477061021
476	0.01469780016
477	0.01462574506
478	0.01458969927
479	0.01452560091
480	0.01449359488
481	0.01442309666
482	0.01438536537
483	0.01433659315
484	0.01430343032
485	0.01424435091
486	0.01417581272
487	0.01416107416
488	0.01412691629
489	0.01408781791
490	0.01405519521
491	0.01401830113
492	0.01401770592
493	0.01401644444
494	0.01401376295
495	0.01398209202
496	0.01394097304
497	0.01390253401
498	0.01386727929
499	0.01378666985
500	0.0137343446
501	0.01372863114
502	0.01367557132
503	0.01364831138
504	0.01361020029
