iter	Passed	Remaining
409	4649	6690
410	4660	6678
411	4671	6667
412	4683	6656
413	4695	6645
414	4706	6634
415	4717	6622
416	4728	6611
417	4739	6599
418	4751	6589
419	4765	6581
420	4778	6571
421	4789	6559
422	4800	6547
423	4810	6534
424	4819	6521
425	4830	6509
426	4841	6497
427	4853	6486
428	4866	6476
429	4879	6468
430	4890	6456
431	4902	6445
432	4913	6434
433	4925	6423
434	4936	6411
435	4947	6400
436	4960	6390
437	4972	6380
438	4984	6370
439	4996	6358
440	5007	6346
441	5017	6333
442	5028	6323
443	5041	6312
444	5052	6301
445	5064	6290
446	5075	6279
447	5086	6267
448	5098	6256
449	5109	6244
450	5120	6232
451	5129	6219
452	5140	6206
453	5151	6195
454	5161	6182
455	5173	6171
456	5184	6160
457	5195	6148
458	5207	6138
459	5219	6127
460	5231	6116
461	5242	6105
462	5254	6093
463	5264	6081
464	5275	6070
465	5287	6058
466	5298	6047
467	5309	6035
468	5320	6023
469	5331	6012
470	5343	6001
471	5354	5990
472	5365	5978
473	5379	5969
474	5392	5960
475	5404	5949
476	5416	5938
477	5427	5927
478	5437	5914
479	5449	5903
480	5459	5891
481	5471	5880
482	5483	5869
483	5496	5859
484	5507	5848
485	5519	5837
486	5529	5824
487	5539	5811
488	5550	5800
489	5561	5788
490	5573	5777
491	5584	5766
492	5592	5751
493	5603	5739
494	5613	5726
495	5623	5714
496	5634	5702
497	5645	5690
498	5656	5679
499	5669	5669
500	5680	5658
501	5691	5645
502	5703	5635
503	5714	5623
504	5726	5612
505	5737	5601
506	5748	5589
507	5759	5577
508	5782	5577
509	5800	5573
510	5816	5565
511	5830	5557
512	5843	5547
513	5854	5535
514	5865	5524
515	5876	5511
516	5885	5498
517	5894	5484
518	5903	5471
519	5912	5457
520	5922	5445
521	5935	5435
522	5947	5424
523	5959	5413
524	5970	5402
525	5980	5389
526	5990	5377
527	6000	5364
528	6010	5351
529	6020	5338
530	6030	5326
531	6037	5311
532	6049	5300
533	6060	5289
534	6072	5278
535	6083	5266
536	6095	5255
537	6105	5242
538	6115	5230
539	6125	5218
540	6136	5205
541	6146	5193
542	6156	5181
543	6168	5170
544	6179	5158
545	6190	5147
546	6202	5136
547	6214	5125
548	6224	5113
549	6235	5101
550	6245	5089
551	6255	5077
552	6266	5064
553	6277	5053
554	6289	5043
555	6302	5032
556	6314	5021
557	6325	5010
558	6335	4998
559	6346	4986
560	6355	4973
561	6364	4960
562	6374	4948
563	6385	4936
564	6397	4925
565	6408	4913
566	6419	4902
567	6430	4891
568	6441	4879
569	6452	4867
570	6462	4855
571	6473	4843
572	6482	4831
573	6493	4819
574	6504	4807
575	6514	4795
576	6525	4783
577	6536	4772
578	6548	4761
579	6560	4750
580	6570	4738
581	6581	4727
582	6593	4715
583	6604	4704
584	6614	4692
585	6625	4680
586	6635	4668
587	6646	4656
588	6657	4645
589	6668	4633
590	6679	4622
591	6689	4610
592	6700	4598
593	6710	4586
594	6720	4574
595	6731	4562
596	6742	4551
597	6753	4540
598	6764	4528
599	6775	4517
600	6787	4506
601	6798	4494
602	6809	4483
603	6820	4471
604	6832	4460
605	6844	4449
606	6857	4439
607	6870	4429
608	6881	4418
609	6892	4406
610	6903	4395
611	6914	4383
612	6925	4372
613	6935	4360
614	6946	4348
615	6956	4336
616	6968	4325
617	6979	4314
618	6990	4302
619	7000	4290
620	7009	4277
621	7018	4265
622	7028	4253
623	7039	4241
624	7050	4230
625	7061	4219
626	7073	4208
627	7084	4196
628	7095	4185
629	7106	4173
630	7117	4162
631	7128	4151
632	7140	4139
633	7150	4128
634	7161	4116
635	7171	4104
636	7181	4092
637	7192	4080
638	7202	4069
639	7213	4057
640	7223	4045
641	7234	4034
642	7245	4022
643	7256	4011
644	7267	3999
645	7278	3988
646	7289	3977
647	7300	3965
648	7310	3953
649	7319	3941
650	7329	3929
651	7336	3915
652	7347	3904
653	7358	3893
654	7369	3881
655	7378	3869
656	7388	3857
657	7399	3846
658	7409	3833
659	7419	3822
660	7430	3810
661	7440	3799
662	7452	3788
663	7464	3777
664	7476	3766
665	7488	3755
666	7499	3743
667	7509	3732
668	7520	3720
669	7530	3709
670	7541	3697
671	7553	3686
672	7564	3675
673	7576	3664
674	7586	3652
675	7594	3639
676	7604	3628
677	7615	3616
678	7627	3606
679	7639	3595
680	7650	3583
681	7660	3571
682	7668	3558
683	7679	3547
684	7690	3536
685	7701	3525
686	7712	3514
687	7723	3502
688	7734	3490
689	7743	3479
690	7753	3467
691	7764	3455
692	7773	3443
693	7784	3432
694	7795	3421
695	7806	3409
696	7818	3398
697	7829	3387
698	7841	3376
699	7852	3365
700	7862	3353
701	7873	3342
702	7882	3330
703	7893	3318
704	7904	3307
705	7914	3295
706	7926	3284
707	7938	3274
708	7950	3263
709	7962	3252
710	7974	3241
711	7985	3230
712	7995	3218
713	8005	3206
714	8015	3194
715	8024	3183
716	8036	3172
717	8048	3161
718	8061	3150
719	8072	3139
720	8083	3128
721	8095	3116
722	8106	3105
723	8116	3094
724	8127	3082
725	8138	3071
726	8149	3060
727	8160	3048
728	8170	3037
729	8180	3025
730	8191	3014
731	8201	3002
732	8212	2991
733	8222	2979
734	8233	2968
735	8245	2957
736	8255	2946
737	8267	2935
738	8279	2924
739	8290	2913
740	8303	2902
741	8315	2891
742	8328	2880
743	8339	2869
744	8352	2858
745	8364	2847
746	8375	2836
747	8386	2825
748	8397	2814
749	8409	2803
750	8419	2791
751	8429	2780
752	8440	2768
753	8452	2757
754	8463	2746
755	8475	2735
756	8485	2723
757	8495	2712
758	8506	2700
759	8516	2689
760	8527	2678
761	8535	2665
762	8547	2654
763	8558	2643
764	8569	2632
765	8581	2621
766	8592	2610
767	8603	2598
768	8613	2587
769	8625	2576
770	8637	2565
771	8649	2554
772	8661	2543
773	8671	2532
774	8681	2520
775	8692	2509
776	8702	2497
777	8714	2486
778	8725	2475
779	8735	2463
780	8745	2452
781	8755	2440
782	8765	2429
783	8776	2417
784	8787	2406
785	8799	2395
786	8812	2385
787	8824	2374
788	8837	2363
789	8848	2352
790	8858	2340
791	8866	2328
792	8873	2316
793	8881	2304
794	8888	2292
795	8895	2279
796	8906	2268
797	8918	2257
798	8929	2246
799	8940	2235
800	8952	2224
801	8963	2213
802	8974	2201
803	8985	2190
804	8995	2178
805	9006	2167
806	9017	2156
807	9029	2145
808	9040	2134
809	9051	2123
810	9060	2111
811	9072	2100
812	9079	2088
813	9087	2076
814	9097	2065
815	9108	2053
816	9119	2042
817	9130	2031
818	9141	2020
819	9151	2008
820	9162	1997
821	9172	1986
822	9201	1978
823	9220	1969
824	9235	1958
825	9248	1948
826	9261	1937
827	9270	1925
828	9280	1914
829	9291	1902
830	9300	1891
831	9306	1879
832	9315	1867
833	9324	1855
834	9330	1843
835	9340	1832
836	9351	1821
837	9360	1809
838	9367	1797
839	9375	1785
840	9385	1774
